ticker,flag_date,signal_value,max_drawdown_30d,outcome
SPY,2002-10-10,0.3553,0.0438,false_alarm
SPY,2002-10-11,0.3934,0.0056,false_alarm
SPY,2002-10-14,0.3941,0.0227,false_alarm
SPY,2002-10-15,0.4235,-0.0242,false_alarm
SPY,2002-10-16,0.4315,0.0198,false_alarm
SPY,2002-10-17,0.4252,-0.0001,false_alarm
SPY,2002-10-18,0.4252,-0.0043,false_alarm
SPY,2002-10-21,0.4262,-0.0212,false_alarm
SPY,2002-10-22,0.4218,-0.0141,false_alarm
SPY,2002-10-23,0.4152,-0.0215,false_alarm
SPY,2002-10-24,0.4206,-0.0011,false_alarm
SPY,2002-10-25,0.402,-0.0215,false_alarm
SPY,2002-10-28,0.3998,-0.0151,false_alarm
SPY,2002-10-29,0.3704,-0.0035,false_alarm
SPY,2002-10-30,0.3512,-0.0131,false_alarm
SPY,2002-10-31,0.3513,-0.0029,false_alarm
SPY,2002-11-01,0.3454,-0.0223,false_alarm
SPY,2002-11-04,0.3311,-0.0315,false_alarm
SPY,2002-11-05,0.3296,-0.0391,false_alarm
SPY,2005-10-24,0.1469,-0.0155,false_alarm
SPY,2005-10-25,0.1469,-0.0135,false_alarm
SPY,2005-10-26,0.147,-0.0106,false_alarm
SPY,2005-10-27,0.1467,0.0144,false_alarm
SPY,2005-10-28,0.1568,0.0028,false_alarm
SPY,2005-10-31,0.1572,0.003,false_alarm
SPY,2005-11-01,0.1529,0.0105,false_alarm
SPY,2005-11-02,0.1495,0.003,false_alarm
SPY,2005-11-03,0.1489,-0.0013,false_alarm
SPY,2005-11-04,0.149,0.001,false_alarm
SPY,2005-11-07,0.1447,0.0,false_alarm
SPY,2006-05-30,0.1438,-0.0282,false_alarm
SPY,2006-05-31,0.1474,-0.0389,false_alarm
SPY,2006-06-01,0.1521,-0.048,false_alarm
SPY,2006-06-02,0.1516,-0.05,false_alarm
SPY,2006-06-05,0.1546,-0.036,false_alarm
SPY,2006-06-06,0.1546,-0.0336,false_alarm
SPY,2006-06-07,0.1549,-0.0263,false_alarm
SPY,2006-06-08,0.1548,-0.0254,false_alarm
SPY,2006-06-09,0.1507,-0.0223,false_alarm
SPY,2006-06-12,0.1488,-0.0116,false_alarm
SPY,2006-06-13,0.1517,0.0078,false_alarm
SPY,2006-06-14,0.1562,0.0031,false_alarm
SPY,2006-06-15,0.1635,-0.0177,false_alarm
SPY,2006-06-16,0.1645,-0.0105,false_alarm
SPY,2006-06-19,0.1641,-0.0027,false_alarm
SPY,2006-06-20,0.163,-0.006,false_alarm
SPY,2006-06-21,0.1631,-0.0134,false_alarm
SPY,2006-06-22,0.1612,-0.009,false_alarm
SPY,2006-06-23,0.154,-0.0088,false_alarm
SPY,2006-06-26,0.1537,-0.0132,false_alarm
SPY,2006-06-27,0.1434,-0.0046,false_alarm
SPY,2006-06-29,0.154,-0.0309,false_alarm
SPY,2006-06-30,0.1538,-0.031,false_alarm
SPY,2006-07-03,0.1449,-0.0349,false_alarm
SPY,2006-07-05,0.1462,-0.0294,false_alarm
SPY,2006-07-06,0.1435,-0.0322,false_alarm
SPY,2006-07-07,0.1458,-0.0258,false_alarm
SPY,2006-07-10,0.1451,-0.0277,false_alarm
SPY,2006-07-13,0.1496,-0.0053,false_alarm
SPY,2006-07-24,0.1499,0.0036,false_alarm
SPY,2006-07-25,0.1497,0.0004,false_alarm
SPY,2006-07-26,0.1456,-0.0009,false_alarm
SPY,2007-02-27,0.1584,-0.0154,false_alarm
SPY,2007-02-28,0.1619,-0.0254,false_alarm
SPY,2007-03-01,0.1597,-0.0225,false_alarm
SPY,2007-03-02,0.1628,-0.0095,false_alarm
SPY,2007-03-05,0.1644,0.0066,false_alarm
SPY,2007-03-06,0.1784,-0.0104,false_alarm
SPY,2007-03-07,0.1782,-0.0094,false_alarm
SPY,2007-03-08,0.1814,-0.0177,false_alarm
SPY,2007-03-09,0.1816,-0.018,false_alarm
SPY,2007-03-12,0.1804,-0.0194,false_alarm
