date,open,high,low,close,volume
2000-05-31,89.78901663682132,90.69438594091903,89.49378751591989,89.94647216796875,6056500
2000-06-01,90.49756566857779,91.59975437615508,90.06456296202958,91.52102661132812,8961600
2000-06-02,93.80416358588134,93.90257332527065,92.88895300956085,93.11529541015625,8962200
2000-06-05,92.87909140542288,93.35145804956998,92.50513447880643,92.66259002685547,6998100
2000-06-06,92.34762383117742,93.07585530640196,91.89493940063242,92.24921417236328,4858900
2000-06-07,92.34767024948229,93.21367568234189,91.95403141636429,92.88892364501953,4919500
2000-06-08,92.89875237441169,93.05620788691068,91.99338317754243,92.52479553222656,5723100
2000-06-09,92.89868720938367,93.19391608822704,91.71777169401014,92.32791137695312,3085300
2000-06-12,92.56418899588796,92.56418899588796,91.24549865722656,91.24549865722656,3678900
2000-06-13,91.2061166595711,93.0562191554709,91.08802501089664,92.95780944824219,6558700
2000-06-14,93.37116073256843,93.76479969012563,92.70197450472118,93.11529541015625,6420500
2000-06-15,93.29237555934517,93.68601427478545,92.48541619269261,93.31205749511719,5881200
2000-06-16,93.63036578196092,93.63036578196092,92.09156078175171,92.5453109741211,5567900
2000-06-19,92.46648503815192,94.16311779114552,92.32838702337337,93.72909545898438,5106900
2000-06-20,93.55151063881193,93.98553283072545,92.8018359436886,93.39368438720703,6480000
2000-06-21,92.76235398899573,93.70931123941507,92.73276157492012,93.35420227050781,3115000
2000-06-22,93.15693784067048,93.23585096039997,91.5392188862158,91.93378448486328,7490500
2000-06-23,92.05215419752773,92.24943699692234,90.82900084128111,91.1446533203125,4863300
2000-06-26,91.77593101993027,92.32832269416889,91.46027863465106,92.3184585571289,5201300
2000-06-27,92.16067793962131,92.62429260976604,91.549101140707,91.63787841796875,4159500
2000-06-28,91.93379708040729,92.79197737504198,91.73651425405448,91.89434051513672,5347700
2000-06-29,91.38139230160162,92.0126972570531,90.60212524721621,91.02628326416016,6345700
2000-06-30,90.86845794434853,91.91405678739032,90.83886552426245,91.7167739868164,7420200
2000-07-03,91.815439435901,93.07804969028382,91.65761315410315,92.97940826416016,1436600
2000-07-05,92.40723543158872,92.58478989761866,91.14462589537573,91.30245208740234,2748200
2000-07-06,91.4997524601722,92.46643807262335,91.04600207065431,92.01268768310547,5963200
2000-07-07,92.60454461604238,93.92633935172087,92.32834870112448,93.49231719970703,3034800
2000-07-10,93.3542619800749,94.00529550614051,93.1372508047197,93.33453369140625,2816100
2000-07-11,93.09775426382255,94.1433531144228,92.90047146182249,93.53177642822266,5431600
2000-07-12,94.241974815439,94.77463826949318,93.86713756999346,94.1433334350586,5883000
2000-07-13,94.68586624785402,94.93246971240204,94.18279518017609,94.55763244628906,5356000
2000-07-14,94.97196600732725,95.48490142822266,94.48862301456042,95.48490142822266,5341900
2000-07-17,95.3171698581304,95.94847471903492,95.12975122754936,95.32703399658203,4208300
2000-07-18,95.09031827684859,95.09031827684859,94.28145872304138,94.54779052734375,4262100
2000-07-19,94.36037396923253,94.63656992063734,93.59097096174767,93.78825378417969,8506800
2000-07-20,94.06446122925311,95.09033203125,93.9460915213304,95.09033203125,4538900
2000-07-21,94.53789069215675,94.53789069215675,93.23582458496094,93.23582458496094,5656900
